Month,ProductLine,ProductName,QuantitySold,InvoiceNo
2023-05,Snacks,Potato Chips,44,INV16807
2024-02,Snacks,Potato Chips,58,INV17975
2024-05,Household,Dish Soap,13,INV31257
2024-02,Bakery,Croissant,166,INV44920
2023-01,Personal Care,Toothpaste,164,INV14509
2024-01,Dairy,Butter,9,INV81057
2024-06,Produce,Bananas,126,INV92197
2023-10,Frozen Foods,Frozen Veggies,14,INV87625
2023-04,Frozen Foods,Frozen Chicken,131,INV29819
2023-04,Household,Laundry Detergent,172,INV91865
2023-07,Dairy,Cheddar Cheese,70,INV97569
2024-02,Frozen Foods,Frozen Veggies,5,INV28602
2024-02,Household,Laundry Detergent,52,INV22621
2023-03,Frozen Foods,Frozen Chicken,68,INV47595
2023-01,Bakery,Croissant,19,INV90805
2024-05,Bakery,White Bread,110,INV57944
2023-09,Produce,Apples,135,INV54917
2023-06,Produce,Spinach,16,INV55080
2023-01,Dairy,Yogurt,35,INV51683
2023-11,Snacks,Popcorn,151,INV72122
2023-05,Dairy,Butter,199,INV21180
2023-06,Beverages,Green Tea,179,INV84284
2023-05,Personal Care,Deodorant,56,INV45207
2023-04,Personal Care,Deodorant,119,INV20743
2024-01,Produce,Bananas,181,INV65863
2023-11,Snacks,Granola Bar,89,INV19843
2024-02,Bakery,Bagel,19,INV32863
2024-06,Frozen Foods,Frozen Chicken,68,INV56563
2023-10,Produce,Spinach,81,INV29109
2023-03,Household,Toilet Paper,168,INV11500
2023-09,Produce,Spinach,80,INV86976
2024-02,Snacks,Popcorn,29,INV61580
2023-06,Dairy,Milk,1,INV19788
2023-04,Dairy,Yogurt,142,INV36056
2023-12,Produce,Bananas,15,INV79978
2024-02,Dairy,Butter,138,INV64992
2023-03,Frozen Foods,Frozen Chicken,31,INV81803
2023-06,Produce,Bananas,96,INV70073
2023-03,Snacks,Potato Chips,178,INV36580
2024-06,Snacks,Popcorn,27,INV23152
2024-06,Household,Dish Soap,111,INV93799
2023-07,Bakery,Bagel,99,INV18929
2023-10,Produce,Spinach,117,INV37167
2023-05,Personal Care,Body Lotion,107,INV43119
2024-04,Dairy,Butter,20,INV26905
2024-05,Dairy,Butter,81,INV31602
2024-03,Frozen Foods,Frozen Chicken,10,INV49155
2024-01,Produce,Carrots,87,INV18620
2023-03,Dairy,Cheddar Cheese,120,INV27156
2023-03,Snacks,Granola Bar,109,INV80376
2023-09,Household,Dish Soap,125,INV27069
2023-06,Produce,Carrots,2,INV42200
2024-03,Household,Dish Soap,95,INV92905
2023-06,Personal Care,Body Lotion,93,INV46620
2023-06,Snacks,Potato Chips,188,INV59578
2023-06,Produce,Carrots,89,INV21323
2023-04,Snacks,Popcorn,11,INV54303
2024-05,Produce,Bananas,6,INV98116
2023-10,Frozen Foods,Frozen Chicken,94,INV58954
2024-02,Frozen Foods,Frozen Pizza,25,INV91090
2023-06,Beverages,Orange Juice,130,INV76957
2024-01,Bakery,Bagel,54,INV34057
2023-11,Household,Toilet Paper,173,INV79637
2024-01,Bakery,White Bread,165,INV47041
2024-01,Dairy,Cheddar Cheese,100,INV91740
2023-07,Beverages,Green Tea,39,INV52647
2023-01,Produce,Bananas,35,INV50853
2024-03,Frozen Foods,Frozen Veggies,45,INV52374
2023-01,Frozen Foods,Frozen Veggies,157,INV26261
2023-01,Beverages,Orange Juice,83,INV14696
2023-09,Bakery,Banana Bread,97,INV33674
2023-01,Produce,Spinach,16,INV87821
2024-05,Bakery,White Bread,178,INV22507
2023-08,Bakery,Bagel,47,INV29480
2024-02,Produce,Spinach,30,INV78609
2024-05,Beverages,Cola,60,INV29838
2023-02,Personal Care,Toothpaste,80,INV30023
2023-07,Produce,Bananas,123,INV85149
2023-01,Personal Care,Shampoo,57,INV68279
2024-05,Produce,Apples,54,INV85075
2023-06,Snacks,Potato Chips,47,INV70710
2024-04,Beverages,Green Tea,6,INV43480
2023-11,Household,Trash Bags,52,INV89985
2023-09,Snacks,Granola Bar,126,INV25852
2023-09,Household,Dish Soap,107,INV77746
2023-09,Frozen Foods,Frozen Pizza,69,INV37905
2024-02,Frozen Foods,Frozen Pizza,129,INV47468
2023-06,Produce,Carrots,196,INV44871
2023-11,Household,Trash Bags,137,INV65990
2023-10,Bakery,Croissant,183,INV48379
2023-03,Snacks,Popcorn,110,INV55651
2023-10,Bakery,White Bread,47,INV26137
2024-02,Dairy,Cheddar Cheese,191,INV91552
